post_id,date,posted_time,type,content_pillar,caption,hashtags,reach,impressions,likes,comments,saves,shares,profile_visits,follows
ff_001,2026-02-15,19:00,image,Corporate Event Portfolio,"Dokumentasi Annual Gathering PT Mitra Karya — 200 peserta, 1 hari penuh energi. Thanks sudah percayakan momen spesial ini ke Fotofusi.","#fotograferjogja #corporatephotography #eventphotography #jogjaphotographer #fotofusijogja",485,612,42,6,15,4,18,3
ff_002,2026-02-17,12:30,image,Service Edu,"Paket pre-wedding Silver: 4 jam, 2 lokasi, 100+ foto edited. Harga mulai 3.75jt — all-inclusive.","#prewedding #prewedjogja #fotografipernikahan #weddingjogja",210,245,18,2,3,1,8,0
ff_003,2026-02-19,20:00,reel,Workshop Documentation,"15 detik yang merangkum workshop digital marketing kemarin. Kamera jalan terus, momen tak terlewat.","#workshopjogja #reeljogja #corporatereel #fotografi",780,920,68,8,22,12,28,5
ff_004,2026-02-22,18:45,carousel,Brand Education,"Kenapa Fotofusi beda dari freelance biasa? 7 alasan kenapa UMKM & korporat pilih kami. Swipe ->","#fotograferjogja #managedmarketplace #fotofusistory",620,755,52,9,28,6,22,4
ff_005,2026-02-24,11:00,image,Service Edu,"Paket Wisuda Family 2jt — 20+ foto edited, album mini, 3 pose keluarga.","#wisudajogja #fotowisuda #graduationphotography",145,168,12,1,2,0,5,0
ff_006,2026-02-26,19:30,image,Corporate Event Portfolio,"Town Hall Meeting Bank ABC — 150 peserta, 2 stage. Momen awarding karyawan terbaik tidak terlewat.","#corporateevent #townhall #fotograferjogja #jogjacorporate",510,640,46,7,17,5,19,2
ff_007,2026-02-28,09:00,image,Behind The Scenes,"Persiapan gear sebelum shoot corporate besar. Backup body, backup lensa, backup battery. Profesional = siap segala kondisi.","#bts #fotograferjogja #behindthescenes",395,445,38,4,11,3,12,2
ff_008,2026-03-02,20:00,reel,Workshop Documentation,"Timelapse workshop dari setup sampai closing. 6 jam dipadatkan jadi 30 detik.","#workshop #reeljogja #timelapse #fotografi",915,1120,82,12,35,18,38,7
ff_009,2026-03-04,12:00,carousel,Service Edu,"Perbedaan paket Wedding Bronze, Silver, Gold. Swipe untuk lihat detail dan harga.","#weddingjogja #fotografipernikahan #weddingjogja",285,322,22,3,5,2,10,1
ff_010,2026-03-06,19:15,image,Corporate Event Portfolio,"Launching produk klien — dari stage lighting sampai crowd reaction, semua tertangkap.","#productlaunch #corporatephotography #fotografijogja",445,528,38,5,14,3,15,2
ff_011,2026-03-08,10:30,image,Brand Education,"Hari perempuan — terima kasih kepada klien-klien perempuan inspiratif yang mempercayai Fotofusi.","#hariperempuan #womensday #fotofusijogja",325,378,48,12,6,8,14,3
ff_012,2026-03-10,20:30,reel,Corporate Event Portfolio,"Compilation 10 corporate event yang kami handle Q1 2026. Dari workshop sampai town hall.","#corporateevent #fotograferjogja #jogjacorporate #reeljogja",1240,1520,112,15,48,22,55,11
ff_013,2026-03-13,19:00,carousel,Behind The Scenes,"A day in the life fotografer corporate event. Swipe untuk ikuti timeline kami.","#bts #fotograferjogja #adayinthelife",580,695,56,8,24,5,25,4
ff_014,2026-03-15,11:30,image,Service Edu,"Maternity shoot — 2jt untuk momen yang hanya ada sekali. Outdoor, studio, atau rumah.","#maternity #maternityphotography #fotografijogja",168,198,14,2,3,1,6,0
ff_015,2026-03-17,19:30,image,Corporate Event Portfolio,"Media gathering klien — dokumentasi profesional untuk press release dan sosial media.","#mediagathering #corporatephotography",420,490,36,4,13,3,14,2
ff_016,2026-03-20,12:00,image,Workshop Documentation,"Detail shot dari workshop finance kemarin. Close-up handshake, ekspresi peserta, momen otentik.","#workshop #detailshot #fotografijogja",385,445,32,3,10,2,12,2
ff_017,2026-03-22,20:00,reel,Brand Education,"3 kesalahan umum saat hire fotografer untuk event. Jangan sampai kecewa di hari H!","#tipsfotografi #fotograferjogja #eventtips",1080,1345,98,18,52,14,42,9
ff_018,2026-03-24,19:00,carousel,Corporate Event Portfolio,"Best moments dari Conference Tech Jogja 2026. 10 foto pilihan.","#conference #techconference #corporatephotography",720,880,68,11,28,8,30,5
ff_019,2026-03-27,11:00,image,Service Edu,"Couple session outdoor 550rb — 1 lokasi, 1 jam, 20+ foto edited.","#couplesession #fotografijogja",132,155,10,1,2,0,4,0
ff_020,2026-03-29,19:30,image,Behind The Scenes,"Tim Fotofusi saat shoot corporate training 2 hari di luar kota. Solid dari sunrise sampai sunset.","#timfotofusi #bts #fotograferjogja",468,545,44,6,16,4,18,3
ff_021,2026-04-01,20:00,reel,Workshop Documentation,"Cinematic cut dari workshop design thinking. Energi peserta terasa dari layar.","#workshop #cinematicreel #fotografijogja",1450,1820,135,22,68,28,65,13
ff_022,2026-04-04,18:45,image,Corporate Event Portfolio,"Internal meeting Startup XYZ — casual tapi tetap profesional. Dokumentasi lengkap semua sesi.","#corporatephotography #startupjogja #internalevent",512,620,48,7,18,4,22,3
ff_023,2026-04-06,12:00,image,Service Edu,"Bukber Ramadan package — 500rb sampai 850rb. Cocok untuk komunitas & perusahaan.","#bukber #ramadan #fotografijogja #bukberjogja",245,285,20,3,4,1,9,1
ff_024,2026-04-09,19:00,carousel,Brand Education,"Portfolio Q1 2026 — 32 project selesai, 100% klien puas. Swipe untuk lihat highlights.","#portfolio #fotograferjogja #managedmarketplace",685,815,64,10,32,7,28,6
ff_025,2026-04-12,20:15,reel,Corporate Event Portfolio,"Product launch event untuk brand lokal Jogja. Stage, MC, audience — semua tercover.","#productlaunch #reeljogja #corporateevent",1180,1465,108,16,55,20,52,10
